date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:35	21924/21924	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:34%20GMT	https://www.kkiosk.ch/de/ueberuns/geschichte/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/ueberuns/geschichte/index-2.html	(from https://www.kkiosk.ch/de/ueberuns/geschichte/)
15:42:35	770978/770978	---M--	200	added ('OK')	image/jpeg	etag:%22bc3a2-556b2b11a1fc0%22	https://www.kkiosk.ch/media/ueberuns/kkiosk_affoltern_aa_2017_3.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/kkiosk_affoltern_aa_2017_3.jpg	(from https://www.kkiosk.ch/de/ueberuns/)
15:42:36	14720/14720	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:35%20GMT	https://www.kkiosk.ch/de/allover/suche/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/allover/suche/index-2.html	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:36	1188/1188	---M-Z	200	added ('OK')	text/css	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/css/jQueryUI-Menu.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/jQueryUI-Menu.css	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:37	9584/9584	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/js/jQueryUI-Menu.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/jQueryUI-Menu.js	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:37	306/306	---M-Z	200	added ('OK')	text/css	etag:%22pub1472546360;gz%22	https://www.kkiosk.ch/layout/css/jQueryUI-Autocomplete.css	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/css/jQueryUI-Autocomplete.css	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:37	8263/8263	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1472546361;gz%22	https://www.kkiosk.ch/layout/js/jQueryUI-Autocomplete.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/jQueryUI-Autocomplete.js	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:38	2132/2132	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1473842003;gz%22	https://www.kkiosk.ch/layout/js/search.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/search.js	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:38	222/222	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Oct%202017%2022:42:38%20GMT	https://www.kkiosk.ch/de/allover/suche/btn%20btn-default	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/allover/suche/btn%20btn-default	(from https://www.kkiosk.ch/de/allover/suche/)
15:42:39	13863/13863	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:38%20GMT	https://www.kkiosk.ch/de/allover/laender/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/allover/laender/index-2.html	(from https://www.kkiosk.ch/de/allover/laender/)
15:42:41	532026/532026	---M--	200	added ('OK')	image/jpeg	etag:%2281e3a-5392b8036b840%22	https://www.kkiosk.ch/media/ueberuns/marke/header.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/ueberuns/marke/header.jpg	(from https://www.kkiosk.ch/de/ueberuns/marke/)
